feature_left,family_left,feature_right,family_right,correlation,absolute_correlation,correlation_status
distinct_add_to_cart_sku_count,add_to_cart_activity,add_to_cart_count_60d,add_to_cart_activity,0.812494,0.812494,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,add_to_cart_count_90d,add_to_cart_activity,0.907287,0.907287,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,product_buy_count,product_buy_activity,0.478585,0.478585,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,distinct_product_buy_sku_count,product_buy_activity,0.524459,0.524459,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,product_buy_count_30d,product_buy_activity,0.344062,0.344062,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,product_buy_count_60d,product_buy_activity,0.424241,0.424241,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,product_buy_count_90d,product_buy_activity,0.46814,0.46814,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,remove_from_cart_count,remove_from_cart_activity,0.830892,0.830892,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,distinct_remove_from_cart_sku_count,remove_from_cart_activity,0.86858,0.86858,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,remove_from_cart_count_30d,remove_from_cart_activity,0.599772,0.599772,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,remove_from_cart_count_60d,remove_from_cart_activity,0.742763,0.742763,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,remove_from_cart_count_90d,remove_from_cart_activity,0.812639,0.812639,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,search_query_count,search_activity,0.542694,0.542694,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,distinct_search_days,search_activity,0.518425,0.518425,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,search_query_count_30d,search_activity,0.395835,0.395835,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,search_query_count_60d,search_activity,0.478499,0.478499,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,search_query_count_90d,search_activity,0.530978,0.530978,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,days_since_last_add_to_cart,recency_features,-0.027087,0.027087,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,days_since_last_remove_from_cart,recency_features,0.142233,0.142233,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,days_since_last_product_buy,recency_features,-0.038469,0.038469,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,days_since_last_search_query,recency_features,0.120474,0.120474,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,buy_to_cart_ratio,ratio_features,0.022901,0.022901,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,remove_to_cart_ratio,ratio_features,0.122655,0.122655,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,cart_minus_remove_count,ratio_features,0.76345,0.76345,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,search_to_cart_ratio,ratio_features,0.041378,0.041378,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,distinct_cart_category_count,product_metadata_features,0.88726,0.88726,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,avg_cart_price,product_metadata_features,0.007754,0.007754,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,max_cart_price,product_metadata_features,0.172956,0.172956,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,distinct_bought_category_count,product_metadata_features,0.447541,0.447541,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,avg_bought_price,product_metadata_features,-0.009361,0.009361,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,max_bought_price,product_metadata_features,0.052706,0.052706,ok
distinct_add_to_cart_sku_count,add_to_cart_activity,is_eligible_purchase_propensity,cohort_indicator,,,skipped_constant_feature
distinct_add_to_cart_sku_count,add_to_cart_activity,active_days_count,overall_activity,0.597882,0.597882,ok
add_to_cart_count_30d,add_to_cart_activity,add_to_cart_count_60d,add_to_cart_activity,0.834193,0.834193,ok
add_to_cart_count_30d,add_to_cart_activity,add_to_cart_count_90d,add_to_cart_activity,0.743782,0.743782,ok
add_to_cart_count_30d,add_to_cart_activity,product_buy_count,product_buy_activity,0.372507,0.372507,ok
add_to_cart_count_30d,add_to_cart_activity,distinct_product_buy_sku_count,product_buy_activity,0.381369,0.381369,ok
add_to_cart_count_30d,add_to_cart_activity,product_buy_count_30d,product_buy_activity,0.536083,0.536083,ok
add_to_cart_count_30d,add_to_cart_activity,product_buy_count_60d,product_buy_activity,0.436839,0.436839,ok
add_to_cart_count_30d,add_to_cart_activity,product_buy_count_90d,product_buy_activity,0.389953,0.389953,ok
add_to_cart_count_30d,add_to_cart_activity,remove_from_cart_count,remove_from_cart_activity,0.600056,0.600056,ok
add_to_cart_count_30d,add_to_cart_activity,distinct_remove_from_cart_sku_count,remove_from_cart_activity,0.569078,0.569078,ok
add_to_cart_count_30d,add_to_cart_activity,remove_from_cart_count_30d,remove_from_cart_activity,0.814502,0.814502,ok
add_to_cart_count_30d,add_to_cart_activity,remove_from_cart_count_60d,remove_from_cart_activity,0.69928,0.69928,ok
add_to_cart_count_30d,add_to_cart_activity,remove_from_cart_count_90d,remove_from_cart_activity,0.628057,0.628057,ok
add_to_cart_count_30d,add_to_cart_activity,search_query_count,search_activity,0.304542,0.304542,ok
add_to_cart_count_30d,add_to_cart_activity,distinct_search_days,search_activity,0.346244,0.346244,ok
add_to_cart_count_30d,add_to_cart_activity,search_query_count_30d,search_activity,0.492732,0.492732,ok
add_to_cart_count_30d,add_to_cart_activity,search_query_count_60d,search_activity,0.379925,0.379925,ok
add_to_cart_count_30d,add_to_cart_activity,search_query_count_90d,search_activity,0.328378,0.328378,ok
add_to_cart_count_30d,add_to_cart_activity,days_since_last_add_to_cart,recency_features,-0.208799,0.208799,ok
add_to_cart_count_30d,add_to_cart_activity,days_since_last_remove_from_cart,recency_features,-0.019657,0.019657,ok
add_to_cart_count_30d,add_to_cart_activity,days_since_last_product_buy,recency_features,-0.068066,0.068066,ok
add_to_cart_count_30d,add_to_cart_activity,days_since_last_search_query,recency_features,-0.03564,0.03564,ok
add_to_cart_count_30d,add_to_cart_activity,buy_to_cart_ratio,ratio_features,0.014804,0.014804,ok
add_to_cart_count_30d,add_to_cart_activity,remove_to_cart_ratio,ratio_features,0.095747,0.095747,ok
add_to_cart_count_30d,add_to_cart_activity,cart_minus_remove_count,ratio_features,0.603046,0.603046,ok
add_to_cart_count_30d,add_to_cart_activity,search_to_cart_ratio,ratio_features,0.012055,0.012055,ok
add_to_cart_count_30d,add_to_cart_activity,distinct_cart_category_count,product_metadata_features,0.560615,0.560615,ok
add_to_cart_count_30d,add_to_cart_activity,avg_cart_price,product_metadata_features,-0.003109,0.003109,ok
add_to_cart_count_30d,add_to_cart_activity,max_cart_price,product_metadata_features,0.108212,0.108212,ok
add_to_cart_count_30d,add_to_cart_activity,distinct_bought_category_count,product_metadata_features,0.314734,0.314734,ok
add_to_cart_count_30d,add_to_cart_activity,avg_bought_price,product_metadata_features,0.02768,0.02768,ok
add_to_cart_count_30d,add_to_cart_activity,max_bought_price,product_metadata_features,0.073293,0.073293,ok
add_to_cart_count_30d,add_to_cart_activity,is_eligible_purchase_propensity,cohort_indicator,,,skipped_constant_feature
add_to_cart_count_30d,add_to_cart_activity,active_days_count,overall_activity,0.398441,0.398441,ok
add_to_cart_count_60d,add_to_cart_activity,add_to_cart_count_90d,add_to_cart_activity,0.919316,0.919316,ok
add_to_cart_count_60d,add_to_cart_activity,product_buy_count,product_buy_activity,0.471478,0.471478,ok
add_to_cart_count_60d,add_to_cart_activity,distinct_product_buy_sku_count,product_buy_activity,0.469454,0.469454,ok
add_to_cart_count_60d,add_to_cart_activity,product_buy_count_30d,product_buy_activity,0.455225,0.455225,ok
add_to_cart_count_60d,add_to_cart_activity,product_buy_count_60d,product_buy_activity,0.530026,0.530026,ok
add_to_cart_count_60d,add_to_cart_activity,product_buy_count_90d,product_buy_activity,0.490876,0.490876,ok
add_to_cart_count_60d,add_to_cart_activity,remove_from_cart_count,remove_from_cart_activity,0.747663,0.747663,ok
add_to_cart_count_60d,add_to_cart_activity,distinct_remove_from_cart_sku_count,remove_from_cart_activity,0.719425,0.719425,ok
add_to_cart_count_60d,add_to_cart_activity,remove_from_cart_count_30d,remove_from_cart_activity,0.716611,0.716611,ok
add_to_cart_count_60d,add_to_cart_activity,remove_from_cart_count_60d,remove_from_cart_activity,0.841111,0.841111,ok
add_to_cart_count_60d,add_to_cart_activity,remove_from_cart_count_90d,remove_from_cart_activity,0.77766,0.77766,ok
add_to_cart_count_60d,add_to_cart_activity,search_query_count,search_activity,0.413641,0.413641,ok
add_to_cart_count_60d,add_to_cart_activity,distinct_search_days,search_activity,0.432277,0.432277,ok
add_to_cart_count_60d,add_to_cart_activity,search_query_count_30d,search_activity,0.435033,0.435033,ok
add_to_cart_count_60d,add_to_cart_activity,search_query_count_60d,search_activity,0.497204,0.497204,ok
add_to_cart_count_60d,add_to_cart_activity,search_query_count_90d,search_activity,0.443193,0.443193,ok
add_to_cart_count_60d,add_to_cart_activity,days_since_last_add_to_cart,recency_features,-0.175257,0.175257,ok
add_to_cart_count_60d,add_to_cart_activity,days_since_last_remove_from_cart,recency_features,0.035868,0.035868,ok
add_to_cart_count_60d,add_to_cart_activity,days_since_last_product_buy,recency_features,-0.059427,0.059427,ok
add_to_cart_count_60d,add_to_cart_activity,days_since_last_search_query,recency_features,0.005674,0.005674,ok
add_to_cart_count_60d,add_to_cart_activity,buy_to_cart_ratio,ratio_features,0.017202,0.017202,ok
add_to_cart_count_60d,add_to_cart_activity,remove_to_cart_ratio,ratio_features,0.112839,0.112839,ok
add_to_cart_count_60d,add_to_cart_activity,cart_minus_remove_count,ratio_features,0.750485,0.750485,ok
add_to_cart_count_60d,add_to_cart_activity,search_to_cart_ratio,ratio_features,0.019155,0.019155,ok
add_to_cart_count_60d,add_to_cart_activity,distinct_cart_category_count,product_metadata_features,0.703087,0.703087,ok
add_to_cart_count_60d,add_to_cart_activity,avg_cart_price,product_metadata_features,-0.005299,0.005299,ok
add_to_cart_count_60d,add_to_cart_activity,max_cart_price,product_metadata_features,0.130352,0.130352,ok
add_to_cart_count_60d,add_to_cart_activity,distinct_bought_category_count,product_metadata_features,0.388782,0.388782,ok
add_to_cart_count_60d,add_to_cart_activity,avg_bought_price,product_metadata_features,0.019038,0.019038,ok
add_to_cart_count_60d,add_to_cart_activity,max_bought_price,product_metadata_features,0.073243,0.073243,ok
add_to_cart_count_60d,add_to_cart_activity,is_eligible_purchase_propensity,cohort_indicator,,,skipped_constant_feature
add_to_cart_count_60d,add_to_cart_activity,active_days_count,overall_activity,0.506284,0.506284,ok
add_to_cart_count_90d,add_to_cart_activity,product_buy_count,product_buy_activity,0.511171,0.511171,ok
add_to_cart_count_90d,add_to_cart_activity,distinct_product_buy_sku_count,product_buy_activity,0.509048,0.509048,ok
add_to_cart_count_90d,add_to_cart_activity,product_buy_count_30d,product_buy_activity,0.400204,0.400204,ok
add_to_cart_count_90d,add_to_cart_activity,product_buy_count_60d,product_buy_activity,0.488218,0.488218,ok
add_to_cart_count_90d,add_to_cart_activity,product_buy_count_90d,product_buy_activity,0.526693,0.526693,ok
add_to_cart_count_90d,add_to_cart_activity,remove_from_cart_count,remove_from_cart_activity,0.833719,0.833719,ok
add_to_cart_count_90d,add_to_cart_activity,distinct_remove_from_cart_sku_count,remove_from_cart_activity,0.811228,0.811228,ok
add_to_cart_count_90d,add_to_cart_activity,remove_from_cart_count_30d,remove_from_cart_activity,0.659393,0.659393,ok
add_to_cart_count_90d,add_to_cart_activity,remove_from_cart_count_60d,remove_from_cart_activity,0.803887,0.803887,ok
add_to_cart_count_90d,add_to_cart_activity,remove_from_cart_count_90d,remove_from_cart_activity,0.856088,0.856088,ok
add_to_cart_count_90d,add_to_cart_activity,search_query_count,search_activity,0.492084,0.492084,ok
add_to_cart_count_90d,add_to_cart_activity,distinct_search_days,search_activity,0.487014,0.487014,ok
add_to_cart_count_90d,add_to_cart_activity,search_query_count_30d,search_activity,0.401634,0.401634,ok
add_to_cart_count_90d,add_to_cart_activity,search_query_count_60d,search_activity,0.475929,0.475929,ok
add_to_cart_count_90d,add_to_cart_activity,search_query_count_90d,search_activity,0.516228,0.516228,ok
add_to_cart_count_90d,add_to_cart_activity,days_since_last_add_to_cart,recency_features,-0.095517,0.095517,ok
add_to_cart_count_90d,add_to_cart_activity,days_since_last_remove_from_cart,recency_features,0.11298,0.11298,ok
add_to_cart_count_90d,add_to_cart_activity,days_since_last_product_buy,recency_features,-0.037635,0.037635,ok
add_to_cart_count_90d,add_to_cart_activity,days_since_last_search_query,recency_features,0.066174,0.066174,ok
add_to_cart_count_90d,add_to_cart_activity,buy_to_cart_ratio,ratio_features,0.017896,0.017896,ok
add_to_cart_count_90d,add_to_cart_activity,remove_to_cart_ratio,ratio_features,0.127958,0.127958,ok
add_to_cart_count_90d,add_to_cart_activity,cart_minus_remove_count,ratio_features,0.816903,0.816903,ok
add_to_cart_count_90d,add_to_cart_activity,search_to_cart_ratio,ratio_features,0.025596,0.025596,ok
add_to_cart_count_90d,add_to_cart_activity,distinct_cart_category_count,product_metadata_features,0.787775,0.787775,ok
add_to_cart_count_90d,add_to_cart_activity,avg_cart_price,product_metadata_features,-0.002728,0.002728,ok
add_to_cart_count_90d,add_to_cart_activity,max_cart_price,product_metadata_features,0.147724,0.147724,ok
add_to_cart_count_90d,add_to_cart_activity,distinct_bought_category_count,product_metadata_features,0.425996,0.425996,ok
add_to_cart_count_90d,add_to_cart_activity,avg_bought_price,product_metadata_features,0.012898,0.012898,ok
add_to_cart_count_90d,add_to_cart_activity,max_bought_price,product_metadata_features,0.071875,0.071875,ok
add_to_cart_count_90d,add_to_cart_activity,is_eligible_purchase_propensity,cohort_indicator,,,skipped_constant_feature
add_to_cart_count_90d,add_to_cart_activity,active_days_count,overall_activity,0.572046,0.572046,ok
product_buy_count,product_buy_activity,distinct_product_buy_sku_count,product_buy_activity,0.91759,0.91759,ok
product_buy_count,product_buy_activity,product_buy_count_30d,product_buy_activity,0.645344,0.645344,ok
product_buy_count,product_buy_activity,product_buy_count_60d,product_buy_activity,0.854142,0.854142,ok
product_buy_count,product_buy_activity,product_buy_count_90d,product_buy_activity,0.960835,0.960835,ok
product_buy_count,product_buy_activity,remove_from_cart_count,remove_from_cart_activity,0.372314,0.372314,ok
product_buy_count,product_buy_activity,distinct_remove_from_cart_sku_count,remove_from_cart_activity,0.3805,0.3805,ok
product_buy_count,product_buy_activity,remove_from_cart_count_30d,remove_from_cart_activity,0.282332,0.282332,ok
product_buy_count,product_buy_activity,remove_from_cart_count_60d,remove_from_cart_activity,0.349178,0.349178,ok
product_buy_count,product_buy_activity,remove_from_cart_count_90d,remove_from_cart_activity,0.370469,0.370469,ok
product_buy_count,product_buy_activity,search_query_count,search_activity,0.345193,0.345193,ok
product_buy_count,product_buy_activity,distinct_search_days,search_activity,0.37043,0.37043,ok
product_buy_count,product_buy_activity,search_query_count_30d,search_activity,0.270394,0.270394,ok
product_buy_count,product_buy_activity,search_query_count_60d,search_activity,0.320535,0.320535,ok
product_buy_count,product_buy_activity,search_query_count_90d,search_activity,0.348659,0.348659,ok
product_buy_count,product_buy_activity,days_since_last_add_to_cart,recency_features,-0.17423,0.17423,ok
product_buy_count,product_buy_activity,days_since_last_remove_from_cart,recency_features,0.050521,0.050521,ok
product_buy_count,product_buy_activity,days_since_last_product_buy,recency_features,0.27974,0.27974,ok
product_buy_count,product_buy_activity,days_since_last_search_query,recency_features,0.021202,0.021202,ok
product_buy_count,product_buy_activity,buy_to_cart_ratio,ratio_features,0.352251,0.352251,ok
product_buy_count,product_buy_activity,remove_to_cart_ratio,ratio_features,0.036552,0.036552,ok
product_buy_count,product_buy_activity,cart_minus_remove_count,ratio_features,0.509937,0.509937,ok
product_buy_count,product_buy_activity,search_to_cart_ratio,ratio_features,0.018277,0.018277,ok
product_buy_count,product_buy_activity,distinct_cart_category_count,product_metadata_features,0.4359,0.4359,ok
product_buy_count,product_buy_activity,avg_cart_price,product_metadata_features,-0.148917,0.148917,ok
product_buy_count,product_buy_activity,max_cart_price,product_metadata_features,-0.051013,0.051013,ok
product_buy_count,product_buy_activity,distinct_bought_category_count,product_metadata_features,0.828852,0.828852,ok
product_buy_count,product_buy_activity,avg_bought_price,product_metadata_features,0.336851,0.336851,ok
product_buy_count,product_buy_activity,max_bought_price,product_metadata_features,0.4325,0.4325,ok
product_buy_count,product_buy_activity,is_eligible_purchase_propensity,cohort_indicator,,,skipped_constant_feature
product_buy_count,product_buy_activity,active_days_count,overall_activity,0.451885,0.451885,ok
distinct_product_buy_sku_count,product_buy_activity,product_buy_count_30d,product_buy_activity,0.603873,0.603873,ok
distinct_product_buy_sku_count,product_buy_activity,product_buy_count_60d,product_buy_activity,0.772726,0.772726,ok
distinct_product_buy_sku_count,product_buy_activity,product_buy_count_90d,product_buy_activity,0.871167,0.871167,ok
distinct_product_buy_sku_count,product_buy_activity,remove_from_cart_count,remove_from_cart_activity,0.40227,0.40227,ok
distinct_product_buy_sku_count,product_buy_activity,distinct_remove_from_cart_sku_count,remove_from_cart_activity,0.414716,0.414716,ok
distinct_product_buy_sku_count,product_buy_activity,remove_from_cart_count_30d,remove_from_cart_activity,0.30719,0.30719,ok
distinct_product_buy_sku_count,product_buy_activity,remove_from_cart_count_60d,remove_from_cart_activity,0.375434,0.375434,ok
distinct_product_buy_sku_count,product_buy_activity,remove_from_cart_count_90d,remove_from_cart_activity,0.399011,0.399011,ok
distinct_product_buy_sku_count,product_buy_activity,search_query_count,search_activity,0.369813,0.369813,ok
distinct_product_buy_sku_count,product_buy_activity,distinct_search_days,search_activity,0.393901,0.393901,ok
distinct_product_buy_sku_count,product_buy_activity,search_query_count_30d,search_activity,0.287539,0.287539,ok
distinct_product_buy_sku_count,product_buy_activity,search_query_count_60d,search_activity,0.340647,0.340647,ok
distinct_product_buy_sku_count,product_buy_activity,search_query_count_90d,search_activity,0.3711,0.3711,ok
distinct_product_buy_sku_count,product_buy_activity,days_since_last_add_to_cart,recency_features,-0.190405,0.190405,ok
distinct_product_buy_sku_count,product_buy_activity,days_since_last_remove_from_cart,recency_features,0.050978,0.050978,ok
distinct_product_buy_sku_count,product_buy_activity,days_since_last_product_buy,recency_features,0.307049,0.307049,ok
distinct_product_buy_sku_count,product_buy_activity,days_since_last_search_query,recency_features,0.021769,0.021769,ok
distinct_product_buy_sku_count,product_buy_activity,buy_to_cart_ratio,ratio_features,0.338137,0.338137,ok
distinct_product_buy_sku_count,product_buy_activity,remove_to_cart_ratio,ratio_features,0.039163,0.039163,ok
distinct_product_buy_sku_count,product_buy_activity,cart_minus_remove_count,ratio_features,0.480374,0.480374,ok
distinct_product_buy_sku_count,product_buy_activity,search_to_cart_ratio,ratio_features,0.020276,0.020276,ok
distinct_product_buy_sku_count,product_buy_activity,distinct_cart_category_count,product_metadata_features,0.479177,0.479177,ok
distinct_product_buy_sku_count,product_buy_activity,avg_cart_price,product_metadata_features,-0.171406,0.171406,ok
distinct_product_buy_sku_count,product_buy_activity,max_cart_price,product_metadata_features,-0.063579,0.063579,ok
distinct_product_buy_sku_count,product_buy_activity,distinct_bought_category_count,product_metadata_features,0.910871,0.910871,ok
distinct_product_buy_sku_count,product_buy_activity,avg_bought_price,product_metadata_features,0.357133,0.357133,ok
distinct_product_buy_sku_count,product_buy_activity,max_bought_price,product_metadata_features,0.463469,0.463469,ok
distinct_product_buy_sku_count,product_buy_activity,is_eligible_purchase_propensity,cohort_indicator,,,skipped_constant_feature
distinct_product_buy_sku_count,product_buy_activity,active_days_count,overall_activity,0.475559,0.475559,ok
product_buy_count_30d,product_buy_activity,product_buy_count_60d,product_buy_activity,0.781737,0.781737,ok
product_buy_count_30d,product_buy_activity,product_buy_count_90d,product_buy_activity,0.680176,0.680176,ok
product_buy_count_30d,product_buy_activity,remove_from_cart_count,remove_from_cart_activity,0.275111,0.275111,ok
product_buy_count_30d,product_buy_activity,distinct_remove_from_cart_sku_count,remove_from_cart_activity,0.269862,0.269862,ok
product_buy_count_30d,product_buy_activity,remove_from_cart_count_30d,remove_from_cart_activity,0.382211,0.382211,ok
product_buy_count_30d,product_buy_activity,remove_from_cart_count_60d,remove_from_cart_activity,0.327888,0.327888,ok
product_buy_count_30d,product_buy_activity,remove_from_cart_count_90d,remove_from_cart_activity,0.289621,0.289621,ok
product_buy_count_30d,product_buy_activity,search_query_count,search_activity,0.206295,0.206295,ok
product_buy_count_30d,product_buy_activity,distinct_search_days,search_activity,0.256849,0.256849,ok
product_buy_count_30d,product_buy_activity,search_query_count_30d,search_activity,0.339408,0.339408,ok
product_buy_count_30d,product_buy_activity,search_query_count_60d,search_activity,0.262994,0.262994,ok
product_buy_count_30d,product_buy_activity,search_query_count_90d,search_activity,0.223493,0.223493,ok
product_buy_count_30d,product_buy_activity,days_since_last_add_to_cart,recency_features,-0.191738,0.191738,ok
product_buy_count_30d,product_buy_activity,days_since_last_remove_from_cart,recency_features,-0.024962,0.024962,ok
product_buy_count_30d,product_buy_activity,days_since_last_product_buy,recency_features,-0.025899,0.025899,ok
product_buy_count_30d,product_buy_activity,days_since_last_search_query,recency_features,-0.03809,0.03809,ok
product_buy_count_30d,product_buy_activity,buy_to_cart_ratio,ratio_features,0.192661,0.192661,ok
product_buy_count_30d,product_buy_activity,remove_to_cart_ratio,ratio_features,0.039292,0.039292,ok
product_buy_count_30d,product_buy_activity,cart_minus_remove_count,ratio_features,0.372138,0.372138,ok
product_buy_count_30d,product_buy_activity,search_to_cart_ratio,ratio_features,0.011691,0.011691,ok
product_buy_count_30d,product_buy_activity,distinct_cart_category_count,product_metadata_features,0.313441,0.313441,ok
product_buy_count_30d,product_buy_activity,avg_cart_price,product_metadata_features,-0.071878,0.071878,ok
product_buy_count_30d,product_buy_activity,max_cart_price,product_metadata_features,0.001407,0.001407,ok
product_buy_count_30d,product_buy_activity,distinct_bought_category_count,product_metadata_features,0.524221,0.524221,ok
product_buy_count_30d,product_buy_activity,avg_bought_price,product_metadata_features,0.193003,0.193003,ok
product_buy_count_30d,product_buy_activity,max_bought_price,product_metadata_features,0.258431,0.258431,ok
product_buy_count_30d,product_buy_activity,is_eligible_purchase_propensity,cohort_indicator,,,skipped_constant_feature
product_buy_count_30d,product_buy_activity,active_days_count,overall_activity,0.292486,0.292486,ok
product_buy_count_60d,product_buy_activity,product_buy_count_90d,product_buy_activity,0.897814,0.897814,ok
product_buy_count_60d,product_buy_activity,remove_from_cart_count,remove_from_cart_activity,0.331167,0.331167,ok
product_buy_count_60d,product_buy_activity,distinct_remove_from_cart_sku_count,remove_from_cart_activity,0.334012,0.334012,ok
product_buy_count_60d,product_buy_activity,remove_from_cart_count_30d,remove_from_cart_activity,0.315729,0.315729,ok
product_buy_count_60d,product_buy_activity,remove_from_cart_count_60d,remove_from_cart_activity,0.374405,0.374405,ok
product_buy_count_60d,product_buy_activity,remove_from_cart_count_90d,remove_from_cart_activity,0.345532,0.345532,ok
product_buy_count_60d,product_buy_activity,search_query_count,search_activity,0.279058,0.279058,ok
product_buy_count_60d,product_buy_activity,distinct_search_days,search_activity,0.31867,0.31867,ok
product_buy_count_60d,product_buy_activity,search_query_count_30d,search_activity,0.296844,0.296844,ok
product_buy_count_60d,product_buy_activity,search_query_count_60d,search_activity,0.336129,0.336129,ok
product_buy_count_60d,product_buy_activity,search_query_count_90d,search_activity,0.299701,0.299701,ok
product_buy_count_60d,product_buy_activity,days_since_last_add_to_cart,recency_features,-0.202579,0.202579,ok
product_buy_count_60d,product_buy_activity,days_since_last_remove_from_cart,recency_features,0.000638,0.000638,ok
product_buy_count_60d,product_buy_activity,days_since_last_product_buy,recency_features,0.069496,0.069496,ok
product_buy_count_60d,product_buy_activity,days_since_last_search_query,recency_features,-0.021558,0.021558,ok
product_buy_count_60d,product_buy_activity,buy_to_cart_ratio,ratio_features,0.26527,0.26527,ok
product_buy_count_60d,product_buy_activity,remove_to_cart_ratio,ratio_features,0.038733,0.038733,ok
